Artist and Title,Streams,Daily
Wiz Khalifa - See You Again,"1,67,07,88,238","7,05,368"
Elton John - Cold Heart,"1,66,88,81,153","13,64,571"
Coldplay - Viva La Vida,"1,66,64,96,786","15,36,961"
Adele - Someone Like You,"1,66,54,03,018","9,18,157"
Jason Mraz - I'm Yours,"1,66,25,74,038","7,17,358"
Lukas Graham - 7 Years,"1,65,91,43,128","7,48,440"
Sia - Cheap Thrills,"1,65,39,03,252","5,49,747"
Lewis Capaldi - Before You Go,"1,65,29,45,021","9,34,695"
The Police - Every Breath You Take,"1,65,13,28,382","13,78,056"
Maroon 5 - Sugar,"1,65,04,29,374","7,19,505"
Luis Fonsi - Despacito,"1,64,87,16,223","2,70,587"
Journey - Don't Stop Believin',"1,64,70,76,713","9,18,967"
The Weeknd - Save Your Tears,"1,64,69,72,509","12,46,988"
Coldplay - The Scientist,"1,64,65,53,130","7,95,988"
Sam Smith - I'm Not The Only One,"1,64,56,07,373","8,57,986"
Charlie Puth - We Don't Talk Anymore,"1,63,39,47,009","8,66,546"
Lauv - I Like Me Better,"1,62,97,81,911","6,28,880"
Billie Eilish - when the party's over,"1,62,33,23,816","6,77,760"
Luis Fonsi - Despacito (Featuring Daddy Yankee),"1,61,88,20,561","5,01,388"
Imagine Dragons - Radioactive,"1,61,74,20,732","7,67,854"
Doja Cat - Kiss Me More,"1,61,23,38,578","8,30,083"
Queen - Another One Bites The Dust,"1,61,20,87,991","8,34,447"
5 Seconds of Summer - Youngblood,"1,61,10,13,661","6,37,231"
Guns N' Roses - Sweet Child O' Mine,"1,59,87,53,373","10,10,518"
Charlie Puth - Attention,"1,59,85,65,916","7,15,575"
Ed Sheeran - Bad Habits,"1,59,09,55,251","7,29,274"
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","1,59,02,86,660","5,15,812"
Twenty One Pilots - Heathens,"1,58,66,12,041","6,09,938"
Danny Ocean - Me RehÃºso,"1,57,13,17,118","8,50,590"
Maroon 5 - Girls Like You,"1,56,84,27,715","3,10,654"
DaBaby - ROCKSTAR,"1,56,17,96,549","3,24,834"
benny blanco - Eastside,"1,55,84,42,853","6,55,394"
The Weeknd - I Feel It Coming,"1,55,75,10,504","6,79,315"
Dean Lewis - Be Alright,"1,55,45,19,880","6,69,068"
The Weeknd - Can't Feel My Face,"1,54,72,07,402","7,64,367"
Twenty One Pilots - Ride,"1,54,45,86,880","6,59,825"
Bruno Mars - Locked out of Heaven,"1,54,36,73,181","18,78,777"
Foster The People - Pumped Up Kicks,"1,53,94,61,331","7,20,375"
Cardi B - I Like It,"1,53,45,95,339","3,68,715"
Post Malone - I Fall Apart,"1,53,23,03,636","4,39,954"
Sia - Chandelier,"1,53,22,01,468","6,37,526"
a-ha - Take on Me,"1,53,09,86,581","11,69,591"
Calvin Harris - This Is What You Came For,"1,52,78,60,257","6,70,453"
Maroon 5 - Payphone,"1,52,51,31,083","10,40,890"
TOTO - Africa,"1,52,23,27,396","8,18,164"
Adele - Rolling in the Deep,"1,51,93,45,533","11,05,406"
Post Malone - Wow.,"1,51,57,02,290","7,44,583"
ZAYN - Dusk Till Dawn,"1,51,22,53,724","5,66,912"
OMI - Cheerleader,"1,50,80,32,779","5,69,486"
Bad Bunny - Me Porto Bonito,"1,50,61,18,891","13,37,897"
Powfu - death bed (coffee for your head),"1,50,59,11,272","5,40,366"
Avicii - The Nights,"1,50,36,79,814","10,56,537"
The Weeknd - Call Out My Name,"1,49,71,25,581","10,17,743"
Gotye - Somebody That I Used To Know,"1,49,53,72,481","8,89,854"
Ava Max - Sweet but Psycho,"1,49,10,88,042","5,07,165"
Michael Jackson - Billie Jean,"1,48,58,56,490","9,22,071"
Trevor Daniel - Falling,"1,48,33,29,267","4,08,420"
Lord Huron - The Night We Met,"1,47,81,42,552","14,91,797"
DJ Snake - Taki Taki,"1,47,48,25,598","3,98,889"
J Balvin - LA CANCIÃN,"1,47,43,55,961","8,08,273"
Harry Styles - Adore You,"1,47,35,18,273","7,14,479"
Justin Bieber - Peaches,"1,47,29,34,434","5,65,872"
Eminem - The Real Slim Shady,"1,47,25,81,177","10,43,099"
The Weeknd - Earned It (Fifty Shades Of Grey),"1,46,78,68,288","7,02,946"
Taylor Swift - Blank Space,"1,46,23,04,492","22,05,641"
Dua Lipa - IDGAF,"1,46,10,63,086","4,72,078"
Lil Nas X - Old Town Road,"1,45,87,20,853","2,82,184"
Justin Bieber - What Do You Mean?,"1,45,68,43,449","4,17,427"
Mariah Carey - All I Want for Christmas Is You,"1,45,61,96,481","2,13,914"
ZAYN - I Donât Wanna Live Forever (Fifty Shades Darker),"1,45,61,14,042","5,90,660"
Adele - Easy On Me,"1,45,49,67,986","10,67,700"
Panic! At The Disco - High Hopes,"1,45,13,18,544","4,51,346"
Miley Cyrus - Flowers,"1,45,05,45,885","27,04,834"
DNCE - Cake By The Ocean,"1,44,96,68,324","5,90,478"
Adele - Hello,"1,44,13,11,472","4,04,697"
WALK THE MOON - Shut Up and Dance,"1,44,00,41,644","7,15,533"
Post Malone - Psycho,"1,43,70,66,850","3,40,437"
Childish Gambino - Redbone,"1,43,63,22,971","6,22,989"
Future - Mask Off,"1,43,00,02,912","5,94,685"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52","1,42,63,63,030","13,73,145"
David Guetta - Titanium,"1,42,48,35,046","7,51,819"
Marshmello - Silence,"1,42,44,32,430","5,05,806"
Ellie Goulding - Love Me Like You Do,"1,42,44,09,772","4,51,186"
Alec Benjamin - Let Me Down Slowly,"1,42,16,75,148","9,02,196"
Major Lazer - Cold Water,"1,41,89,41,617","3,77,325"
Travis Scott - HIGHEST IN THE ROOM,"1,41,87,05,165","6,17,276"
Arctic Monkeys - I Wanna Be Yours,"1,41,60,45,746","26,28,282"
Billie Eilish - everything i wanted,"1,41,46,49,237","7,83,761"
Christina Perri - A Thousand Years,"1,41,36,82,153","7,10,495"
XXXTENTACION - Everybody Dies In Their Nightmares,"1,41,32,00,246","5,85,236"
KAROL G - Tusa,"1,40,60,92,186","3,80,798"
Linkin Park - Numb,"1,40,58,51,093","10,33,248"
Coolio - Gangsta's Paradise,"1,40,51,04,924","10,16,890"
Arizona Zervas - ROXANNE,"1,40,07,76,340","2,96,515"
MÃ¥neskin - Beggin',"1,40,04,20,045","7,03,388"
Drake - Passionfruit,"1,40,00,98,656","9,28,404"
XXXTENTACION - Fuck Love,"1,39,90,79,591","5,69,016"
Clean Bandit - Rockabye,"1,39,70,72,692","4,02,402"
Zedd - The Middle,"1,39,54,62,014","4,15,930"
Queen - Under Pressure,"1,39,46,27,324","8,25,102"
The White Stripes - Seven Nation Army,"1,39,38,49,056","8,56,048"
Eagles - Hotel California,"1,39,13,52,147","7,60,023"
Khalid - Young Dumb & Broke,"1,38,89,71,513","4,77,457"
Juice WRLD - All Girls Are The Same,"1,38,79,60,821","7,73,979"
Anne-Marie - 2002,"1,38,72,16,967","5,67,068"
BeyoncÃ© - Halo,"1,38,65,87,140","6,44,204"
Bastille - Pompeii,"1,38,01,00,784","8,08,678"
J Balvin - Mi Gente,"1,37,37,63,858","4,06,018"
Tame Impala - The Less I Know The Better,"1,37,18,55,652","8,49,541"
Doja Cat - Woman,"1,37,02,81,598","9,84,378"
Maroon 5 - Maps,"1,35,97,57,499","10,34,060"
Shakira - Hips Don't Lie,"1,35,64,30,515","8,68,490"
White Noise Baby Sleep - Clean White Noise,"1,35,05,98,332","19,41,565"
Harry Styles - Sign of the Times,"1,34,82,96,704","6,38,595"
Ed Sheeran - Shivers,"1,34,75,30,766","9,41,253"
NF - Let You Down,"1,34,69,66,652","4,81,179"
"Earth, Wind & Fire - September","1,34,66,55,385","8,38,629"
Marshmello - FRIENDS,"1,34,64,31,482","3,27,466"
Conan Gray - Heather,"1,34,43,10,093","8,84,679"
Farruko - Pepas,"1,34,38,68,535","7,17,962"
Kendrick Lamar - All The Stars,"1,34,31,07,521","7,89,052"
Fleetwood Mac - Dreams,"1,33,77,64,364","11,90,804"
Don Omar - Danza Kuduro,"1,33,39,64,462","11,60,382"
The Goo Goo Dolls - Iris,"1,33,39,08,335","9,68,448"
AC/DC - Back In Black,"1,33,28,58,922","7,39,123"
Fifth Harmony - Work from Home,"1,33,19,98,969","3,53,579"
Bad Bunny - Callaita,"1,32,72,52,311","4,73,176"
Radiohead - Creep,"1,32,66,06,903","13,06,548"
Drake - In My Feelings,"1,32,47,34,035","2,78,754"
"gnash - i hate u, i love u","1,32,41,71,498","2,87,442"
Arctic Monkeys - Why'd You Only Call Me When You're High?,"1,32,39,67,593","13,92,908"
Bon Jovi - Livin' On A Prayer,"1,32,38,12,003","10,10,892"
Kygo - It Ainât Me,"1,32,28,08,868","4,28,689"
Champs United - Danza Kuduro,"1,32,21,22,702","11,31,634"
Clean Bandit - Symphony,"1,32,21,14,416","4,94,626"
Martin Garrix - In the Name of Love,"1,32,09,29,904","4,67,256"
AC/DC - Highway to Hell,"1,31,52,77,814","8,41,824"
Ed Sheeran - Beautiful People,"1,31,49,83,580","3,19,859"
Dynoro - In My Mind,"1,31,41,16,685","4,50,795"
Bad Bunny - TitÃ­ Me PreguntÃ³,"1,31,21,22,553","9,89,504"
Ariana Grande - Side To Side,"1,31,07,03,566","4,47,762"
Miley Cyrus - Party In The U.S.A.,"1,31,02,52,056","10,92,949"
Olivia Rodrigo - deja vu,"1,30,72,74,925","12,61,694"
Eminem - Mockingbird,"1,30,56,96,679","13,55,148"
Manuel Turizo - La Bachata,"1,29,70,07,038","17,23,657"
Calvin Harris - Summer,"1,29,60,45,927","6,11,450"
Jonas Brothers - Sucker,"1,29,45,50,504","4,74,300"
Sam Smith - Unholy,"1,29,37,24,062","12,24,408"
SZA - Kill Bill,"1,29,33,88,846","26,24,438"
Lil Baby - Drip Too Hard (Lil Baby & Gunna),"1,29,30,26,587","7,92,836"
Calvin Harris - We Found Love,"1,28,92,86,111","12,55,957"
Bad Bunny - Yonaguni,"1,28,84,46,186","5,73,979"
Bebe Rexha - Meant to Be,"1,28,82,07,646","3,75,413"
Rihanna - Needed Me,"1,28,77,57,957","6,40,552"
Khalid - Location,"1,28,61,24,885","3,10,535"
"Train - Hey, Soul Sister","1,28,56,66,512","6,45,710"
XXXTENTACION - Look At Me!,"1,28,54,70,205","5,33,058"
XXXTENTACION - changes,"1,28,28,15,867","3,01,238"
Bruno Mars - 24K Magic,"1,28,15,33,565","5,38,704"
Ariana Grande - positions,"1,27,98,57,542","5,73,694"
The Starlite Singers - Party In The U.S.A.,"1,27,95,12,306","9,27,049"
Offset - Ric Flair Drip,"1,27,88,63,050","7,27,301"
MAGIC! - Rude,"1,27,86,07,749","6,50,477"
Arctic Monkeys - 505,"1,27,71,38,458","13,39,045"
Olivia Rodrigo - traitor,"1,27,70,52,620","11,33,769"
Rihanna - Work,"1,27,57,88,741","3,64,801"
Alessia Cara - Scars To Your Beautiful,"1,27,57,85,800","5,52,156"
Tears For Fears - Everybody Wants To Rule The World,"1,27,22,83,502","14,50,261"
The Weeknd - Save Your Tears,"1,26,96,56,703","10,52,387"
Selena Gomez - Wolves,"1,26,78,50,079","3,26,411"
Imagine Dragons - Enemy,"1,26,71,46,687","9,60,302"
"Snoop Dogg - Young, Wild & Free","1,26,69,02,148","6,30,900"
Imagine Dragons - Enemy feat. J.I.D. (from the series Arcane League of Legends),"1,26,61,86,385","9,12,238"
Logic - 1-800-273-8255,"1,26,61,67,225","2,62,396"
Eminem - Love The Way You Lie,"1,26,53,14,257","7,32,552"
Coldplay - Fix You,"1,26,00,69,599","6,35,227"
Rihanna - Umbrella,"1,25,96,37,141","10,58,004"
Milky Chance - Stolen Dance,"1,25,90,64,274","6,73,732"
Pitbull - Timber,"1,25,85,42,848","6,79,746"
Tyga - Taste,"1,25,74,65,612","3,55,807"
Ariana Grande - One Last Time,"1,25,54,47,052","7,77,627"
Daddy Yankee - Con Calma,"1,25,37,49,257","3,95,111"
AC/DC - Thunderstruck,"1,25,14,06,548","7,64,022"
Zara Larsson - Lush Life,"1,25,01,17,797","4,58,783"
Pharrell Williams - Happy,"1,24,63,38,233","4,92,000"
Ariana Grande - no tears left to cry,"1,24,55,48,662","3,10,181"
50 Cent - In Da Club,"1,24,45,39,292","9,72,474"
Dr. Dre - Still D.R.E.,"1,24,28,93,888","7,17,303"
Khalid - Better,"1,24,16,59,035","3,81,065"
Ed Sheeran - Happier,"1,24,03,27,708","3,22,261"
Maroon 5 - She Will Be Loved,"1,24,01,04,665","5,91,701"
Kanye West - Stronger,"1,23,73,28,950","5,83,430"
Ed Sheeran - Castle on the Hill,"1,23,51,64,453","3,96,375"
XXXTENTACION - Hope,"1,23,48,86,396","6,69,088"
Avicii - Waiting For Love,"1,23,40,13,934","6,56,398"
Rihanna - Love On The Brain,"1,23,10,09,108","7,86,125"
JAY-Z - Ni**as In Paris,"1,23,01,46,305","7,18,806"
Drake - Hotline Bling,"1,23,00,69,787","4,01,144"
Adele - Set Fire to the Rain,"1,22,86,24,143","14,18,903"
Bad Bunny - MIA,"1,22,83,54,680","3,71,805"
Internet Money - Lemonade,"1,22,81,28,263","3,88,725"
Regard - Ride It,"1,22,73,43,645","4,76,558"
Cardi B - WAP,"1,22,54,17,019","4,35,209"
Katy Perry - Dark Horse,"1,22,46,25,209","7,40,308"
Justin Bieber - Ghost,"1,22,18,53,254","11,82,187"
Backstreet Boys - I Want It That Way,"1,21,88,89,659","7,05,767"
Jessie J - Bang Bang,"1,21,68,57,065","4,14,531"
Shawn Mendes - Mercy,"1,21,56,56,628","4,39,967"
The Script - Hall of Fame,"1,21,55,54,988","7,26,705"
Coldplay - A Sky Full of Stars,"1,21,36,95,523","9,23,157"
Axwell /\ Ingrosso - More Than You Know,"1,21,11,23,719","4,83,214"
Sam Smith - Dancing With A Stranger,"1,21,09,10,808","5,41,111"
Eminem - Godzilla,"1,20,96,40,888","6,14,155"
Ed Sheeran - Galway Girl,"1,20,89,51,858","3,93,896"
Jhayco - No Me Conoce,"1,20,83,22,726","6,42,189"
Ariana Grande - Into You,"1,20,80,81,032","5,58,190"
ZAYN - PILLOWTALK,"1,20,77,19,052","3,90,491"
Tate McRae - you broke me first,"1,20,71,71,617","5,83,177"
Coldplay - Hymn for the Weekend,"1,20,33,12,105","6,69,935"
David Guetta - I'm Good (Blue),"1,20,06,25,837","18,08,708"
Lil Mosey - Blueberry Faygo,"1,20,01,95,126","3,30,421"
DJ Khaled - I'm the One,"1,19,76,88,953","1,99,709"
Creedence Clearwater Revival - Have You Ever Seen The Rain,"1,19,74,01,374","12,34,693"
Juice WRLD - Robbery,"1,19,33,05,507","4,04,135"
Rauw Alejandro - Todo De Ti,"1,19,29,24,977","5,13,418"
Gorillaz - Feel Good Inc.,"1,19,25,41,497","7,77,994"
"G-Eazy - Me, Myself & I","1,19,22,68,295","3,00,596"
Maroon 5 - Moves Like Jagger,"1,19,10,38,820","9,43,123"
Lil Tecca - Ransom,"1,18,99,13,318","5,22,628"
Bad Bunny - Ojitos Lindos,"1,18,96,75,431","11,54,579"
Red Hot Chili Peppers - Under the Bridge,"1,18,87,36,292","6,45,613"
Red Hot Chili Peppers - Californication,"1,18,76,74,335","6,46,246"
Kings of Leon - Sex on Fire,"1,18,65,23,133","7,42,226"
One Direction - Night Changes,"1,18,50,14,744","11,20,241"
Clean Bandit - Rather Be,"1,18,49,85,979","4,39,431"
blackbear - hot girl bummer,"1,18,44,19,653","3,17,465"
Metallica - Enter Sandman (Remastered),"1,18,30,05,213","8,37,242"
Ruth B. - Dandelions,"1,18,25,23,426","13,28,311"
Black Eyed Peas - I Gotta Feeling,"1,18,00,31,998","8,48,816"
MKTO - Classic,"1,17,89,30,923","5,53,845"
OneRepublic - I Ain't Worried,"1,17,29,58,809","16,56,704"
Maroon 5 - Animals,"1,17,27,67,045","6,50,770"
Taylor Swift - Shake It Off,"1,17,22,98,005","11,59,281"
Wham! - Last Christmas,"1,16,77,27,669","2,38,464"
Drake - Nice For What,"1,16,75,00,353","5,63,088"
Travis Scott - BUTTERFLY EFFECT,"1,16,74,47,151","4,82,017"
Portugal. The Man - Feel It Still,"1,16,65,54,344","4,76,979"
Maluma - HawÃ¡i,"1,16,59,37,773","4,80,598"
Major Lazer - Light It Up,"1,16,51,60,891","3,96,784"
The Neighbourhood - Daddy Issues,"1,16,44,97,890","8,05,175"
BTS - Butter,"1,16,21,74,447","3,71,404"
Martin Garrix - Scared to Be Lonely,"1,16,06,57,554","3,18,783"
Post Malone - Goodbyes,"1,16,03,62,513","4,52,501"
Billie Eilish - ocean eyes,"1,15,72,72,259","7,48,895"
Masked Wolf - Astronaut In The Ocean,"1,15,71,34,798","3,92,538"
Lynyrd Skynyrd - Sweet Home Alabama,"1,15,58,41,973","5,78,790"
Kendrick Lamar - Money Trees,"1,15,44,97,662","12,88,675"
Zedd - Stay,"1,15,25,16,192","2,84,037"
Snow Patrol - Chasing Cars,"1,14,90,67,872","5,59,250"
Joji - SLOW DANCING IN THE DARK,"1,14,86,79,528","5,80,352"
Keane - Somewhere Only We Know,"1,14,65,85,980","11,90,181"
Rihanna - Diamonds,"1,14,64,42,680","12,16,419"
Bruno Mars - Leave The Door Open,"1,14,47,43,431","6,90,644"
Carly Rae Jepsen - Call Me Maybe,"1,14,14,49,008","8,35,527"
R.E.M. - Losing My Religion,"1,13,92,34,586","8,21,004"
"Tyler, The Creator - See You Again","1,13,86,59,839","18,24,339"
Outkast - Hey Ya!,"1,13,86,25,845","6,71,939"
Adele - When We Were Young,"1,13,64,85,141","5,35,740"
Desiigner - Panda,"1,13,47,10,811","1,82,938"
Hailee Steinfeld - Starving,"1,13,38,81,133","2,07,180"
Future - Life Is Good,"1,13,29,93,826","4,48,500"
J. Cole - MIDDLE CHILD,"1,13,29,64,652","6,30,940"
Julia Michaels - Issues,"1,13,18,97,737","3,34,434"
Gym Class Heroes - Stereo Hearts,"1,13,15,17,123","8,75,159"
Maroon 5 - What Lovers Do,"1,12,55,90,948","2,62,942"
Eurythmics - Sweet Dreams (Are Made of This),"1,12,32,99,958","6,69,420"
Kendrick Lamar - LOVE. FEAT. ZACARI.,"1,12,10,77,891","7,29,341"
Doja Cat - Say So,"1,11,80,21,431","3,19,256"
Robin Schulz - Sugar,"1,11,50,74,539","3,41,476"
P!nk - Just Give Me a Reason,"1,11,19,20,440","5,61,717"
Queen - We Will Rock You,"1,11,01,90,755","5,91,437"
Rihanna - Stay,"1,10,69,61,168","7,79,154"
System Of A Down - Chop Suey!,"1,10,64,23,551","8,02,667"
Nio Garcia - Te BotÃ©,"1,10,62,29,900","2,94,141"
Survivor - Eye of the Tiger,"1,10,51,21,837","6,30,715"
Taylor Swift - Anti-Hero,"1,10,47,73,147","21,02,595"
The Chainsmokers - Paris,"1,10,45,09,434","3,16,083"
Anuel AA - China,"1,10,36,84,316","3,15,589"
James Bay - Let It Go,"1,10,20,36,308","3,26,818"
Billie Eilish - Happier Than Ever,"1,10,14,56,608","8,89,171"
Bruno Mars - Talking to the Moon,"1,10,02,32,252","8,98,549"
Joel Corry - Head & Heart,"1,09,99,33,515","4,03,280"
Coldplay - My Universe,"1,09,97,35,535","7,41,010"
Daniel Caesar - Best Part,"1,09,96,96,239","7,20,065"
Marvin Gaye - Ain't No Mountain High Enough,"1,09,86,47,558","9,35,255"
Pedro CapÃ³ - Calma,"1,09,85,01,032","2,31,568"
Demi Lovato - Sorry Not Sorry,"1,09,84,07,569","2,25,697"
Calum Scott - Dancing On My Own,"1,09,66,16,870","4,52,478"
Bad Bunny - Efecto,"1,09,31,28,898","9,73,810"
Unknown - Ain't No Mountain High Enough,"1,09,30,90,522","9,11,088"
Selena Gomez - Lose You To Love Me,"1,09,20,55,527","5,43,420"
Lorde - Royals,"1,09,12,40,504","5,34,454"
Coldplay - Paradise,"1,09,07,22,477","7,22,870"
Justin Bieber - Intentions,"1,08,97,38,762","3,35,219"
Pitbull - Time of Our Lives,"1,08,74,97,000","5,83,180"
Unknown - Time Of Our Lives,"1,08,64,04,194","4,93,329"
Meek Mill - Going Bad,"1,08,54,42,992","4,41,293"
Bruno Mars - Grenade,"1,08,45,66,094","8,12,737"
The Beatles - Here Comes The Sun,"1,08,30,00,824","7,29,899"
TiÃ«sto - The Business,"1,08,25,40,755","4,60,812"
Dua Lipa - Break My Heart,"1,08,12,84,054","3,93,405"
Imagine Dragons - Whatever It Takes,"1,08,11,61,593","5,88,008"
BTS - Boy With Luv (Feat. Halsey),"1,08,06,27,277","3,03,415"
Capital Cities - Safe And Sound,"1,07,78,11,792","7,22,198"
The Lumineers - Ho Hey,"1,07,74,68,817","7,15,870"
Imagine Dragons - Natural,"1,07,74,32,235","5,49,285"
Creedence Clearwater Revival - Fortunate Son,"1,07,60,69,162","9,99,148"
One Direction - Story of My Life,"1,07,45,70,442","5,88,678"
Bryson Tiller - Don't,"1,07,38,22,987","7,01,882"
Fetty Wap - Trap Queen,"1,07,32,79,120","3,60,341"
21 Savage - Bank Account,"1,07,12,39,813","3,20,831"
USHER - Yeah!,"1,07,11,87,268","6,43,666"
Nirvana - Come As You Are,"1,07,03,01,894","7,36,795"
Doja Cat - Need to Know,"1,06,53,18,755","4,91,368"
XXXTENTACION - Revenge,"1,06,45,19,805","8,92,201"
Topic - Breaking Me,"1,06,36,17,486","2,64,169"
Lady Gaga - Always Remember Us This Way,"1,06,13,47,664","7,15,922"
